"WS","WS_l","WS_dl","PS","PS_l","PS_dl","Y","Y_l","Y_dl","Yrw","Yrw_l","Yrw_dl","Tax","Yf","Yf_l","Yf_dl","C","C_l","C_dl","W","W_l","W_dl","R","R_l","R_dl","It","It_l","It_dl","Itcurr","Itcurr_l","Itcurr_dl","Ipr","Ipr_l","Ipr_dl","Ips","Ips_l","Ips_dl","I","I_l","I_dl","r","r_l","r_dl","P","P_l","P_dl","Pm","Pm_l","Pm_dl","Px","Px_l","Px_dl","X","X_l","X_dl","M","M_l","M_dl","rulc","rulc_l","rulc_dl","ulc","ulc_l","ulc_dl","Tau","Tau_l","Tau_dl","dPxdPm","dPdPm","Trade"
0.638267553,-0.448997721476078,NA,0.361732447,-1.01685043710806,NA,516.432,6.24694362451966,NA,8985198352678.93,29.8265997119002,NA,NA,NA,NA,NA,297.606,5.69577046404602,NA,NA,NA,NA,NA,NA,NA,86.6574,4.46196241355381,NA,4.517,1.50784805667247,NA,3.4708,1.2443851149372,NA,0.768386096967013,-0.26346294173527,NA,66.5863413593093,4.19849947181855,NA,NA,NA,NA,5.0672721,1.6228026254664,NA,9.3274733,2.23296416360573,NA,8.4277337,2.13152789838532,NA,62.2706,4.13148940429643,NA,60.3593,4.10031503674824,NA,NA,NA,NA,NA,NA,NA,48.0578453,3.87240539576186,NA,NA,NA,0.237456044551848
0.650291737,-0.430334190630939,0.0186635308451396,0.349708263,-1.05065600636726,-0.0338055692591972,530.382,6.27359750164421,0.0266538771245441,9409081933245.2,29.8726965018805,0.0460967899802824,NA,NA,NA,NA,304.33,5.71811263896436,0.0223421749183323,NA,NA,NA,NA,NA,NA,93.6713,4.5397918456344,0.0778294320805806,5.09,1.62727783056243,0.119429773889964,3.9617,1.37667322607584,0.132288111138638,0.778330058939096,-0.250604604486596,0.0128583372486741,72.9071884499018,4.2891872411478,0.0906877693292536,2.4119388,2.53158236580096,NA,5.2586611,1.65987645062163,0.0370738251552263,9.3709932,2.23761908849848,0.00465492489275388,8.5730491,2.14862345696355,0.017095558578232,63.9796,4.15856428254809,0.0270748782516659,59.7269,4.08978250517971,-0.0105325315685336,NA,NA,NA,NA,NA,NA,48.5784701,3.88318043069443,0.0107750349325708,0.0124406336854785,0.0324189002624728,0.233240381460909
0.653464936,-0.425466403057455,0.00486778757348305,0.346535064,-1.05977127066683,-0.00911526429957688,536.209,6.28452401044279,0.0109265087985859,9961935561867.19,29.9297925021655,0.0570960002850143,NA,NA,NA,NA,311.309,5.74078598804796,0.0226733490836013,NA,NA,NA,NA,NA,NA,94.5386,4.5490082167088,0.00921637107439999,5.23,1.65441127807683,0.0271334475144003,3.9905,1.38391653633393,0.00724331025809066,0.763001912045889,-0.270494741742905,-0.0198901372563095,72.1331325621415,4.27851347496589,-0.0106737661819087,2.2079893,2.51522863969214,-0.0163537261088198,5.4486172,1.69536185171094,0.0354854010893053,9.3775323,2.2383166473828,0.000697558884313665,8.6765692,2.1606261970828,0.012002740119252,64.7952,4.17123152654054,0.0126672439924427,60.7516,4.10679341932239,0.0170109141426877,NA,NA,NA,NA,NA,NA,48.5077065,3.88172268222788,-0.00145774846655611,0.0113051812349378,0.0347878422049913,0.234137808205383
0.657533855,-0.419259025761511,0.00620737729594456,0.342466145,-1.07158247288084,-0.0118112022140107,562.267,6.33197682604263,0.0474528155998364,10506597415248.1,29.9830245010401,0.0532319988745371,3.489,558.778,6.32575225652904,NA,325.673,5.78589381047319,0.0451078224252353,367.41545242919,5.90649323076753,NA,191.36254757081,5.2541697836482,NA,96.7568,4.5722006136778,0.0231923969690007,5.63,1.7281094421516,0.0736981640747674,4.2877,1.45575045863443,0.0718339223005042,0.76158081705151,-0.272358983517168,-0.00186424177426309,73.6881227992895,4.29984163016063,0.0213281551947366,3.8797786,2.64199770960076,0.126769069908623,5.5294037,1.71007997970209,0.0147181279911506,9.7487298,2.2771369995999,0.0388203522171073,8.8391819,2.17919432711811,0.0185681300353062,67.6307,4.21406202196948,0.0428304954289445,62.7672,4.13943264403803,0.0326392247156324,0.653453701585172,-0.425483595275097,NA,3.61320931532375,1.28459638442699,NA,50.4222321,3.92043219091078,0.0387095086829032,-0.020252222181801,-0.0241022242259566,0.231914553050419
0.656208951,-0.421276017889833,-0.00201699212832196,0.343791049,-1.06772122185806,0.00386125102277912,593.725,6.38641624919924,0.0544394231566114,11193642227162.7,30.0463670747616,0.0633425737215063,3.848,589.877,6.37991404058965,0.0541617840606046,336.548,5.81874078378567,0.0328469733124779,387.082567389027,5.95863802269982,0.0521447919322817,202.794432610973,5.31219281873158,0.0580230350833837,112.4261,4.72229611690955,0.150095503231753,6.645,1.89386469216521,0.16575525001361,4.9972,1.60887775557554,0.153127296941106,0.752024078254327,-0.284986936589671,-0.0126279530725032,84.5471342242288,4.43730918031988,0.137467550159251,2.3101905,2.52345709028182,-0.118540619318944,5.7277403,1.74532108994336,0.0352411102412784,10.0117029,2.3037546987385,0.0266176991385998,9.082066,2.20630169977113,0.0271073726530258,69.5767,4.24242974117741,0.0283677192079272,69.209,4.23713091197031,0.0976982679322838,0.65195598532827,-0.427778226499426,-0.0022946312243291,3.73423457099094,1.31754286344394,0.0329464790169494,52.3240086,3.95745532118649,0.0370231302757089,0.000489673514425942,0.00862341110267872,0.233754179123332
0.657534368,-0.419258245573851,0.00201777231598227,0.342465632,-1.07158397084025,-0.00386274898218852,606.373,6.40749530827093,0.0210790590716874,11809272374832.2,30.0999061333026,0.0535390585410447,4.289,602.084,6.40039697045846,0.0204829298688063,341.197,5.8324600230818,0.0137192392961305,395.890922422912,5.98113872488461,0.0225007021847894,206.193077577088,5.3288129996182,0.0166201808866182,117.6945,4.76809228420244,0.0457961672928864,7.197,1.97366427252567,0.0797995803604585,5.4383,1.69346651202955,0.0845887564540142,0.755634292066139,-0.280197760496116,0.00478917609355545,88.9340001875782,4.48789452370632,0.0505853433864409,0.5866345,2.37472730144256,-0.148729788839263,6.0678838,1.80300991166549,0.0576888217221225,10.1956599,2.32196212973941,0.0182074310009104,9.3242382,2.23261726782274,0.0263155680516061,72.274,4.2804644517638,0.0380347105863921,69.608,4.24287950326372,0.00574859129341387,0.652883493201234,-0.426356583386324,0.00142164311310189,3.96162117168318,1.37665332827916,0.0591104648352245,52.5618238,3.96199007296552,0.00453475177902751,0.00810813705069582,0.0394813907212123,0.233984692590204
0.665156853,-0.407732396966111,0.0115258486077401,0.334843147,-1.09409307471575,-0.0225091038754985,615.877,6.42304726827107,0.0155519600001437,12524767757163,30.1587292203853,0.0588230870826614,4.81,611.067,6.41520660946093,0.0148096390024728,347.825,5.85169947972794,0.0192394566461394,406.455402692151,6.00747421249482,0.0263354876102122,204.611597307849,5.32111353474518,-0.00769946487302597,117.442,4.76594459469395,-0.00214768950848665,7.687,2.03953059036699,0.0658663178413277,5.7221,1.74433587088206,0.0508693588525073,0.744386626772473,-0.295194719484936,-0.0149969589888204,87.4222542214128,4.47074987520901,-0.0171446484973075,1.5171487,2.45775776469537,0.0830304632528147,6.3920185,1.85505010270259,0.052040191037102,10.413521,2.34310505790795,0.0211429281685374,9.6438181,2.26631709867277,0.0336998308500354,75.7169,4.32700138519665,0.0465369334328534,71.1287,4.26449091218308,0.0216114089193526,0.65996197729766,-0.415573055776255,0.010783527610069,4.21848916818322,1.43947704692633,0.062823718647171,52.6525284,3.96371426021895,0.0017241872534326,0.0125569026814979,0.0308972628685645,0.238433323537005
0.664211739,-0.409154296302267,-0.00142189933615622,0.335788261,-1.09127449325827,0.00281858145748237,632.973,6.45042776720603,0.0273804989349591,13104379467677.4,30.2039676007761,0.0452383803907743,5.678,627.295,6.44141692440299,0.0262103149420616,357.058,5.87789823356963,0.0261987538416868,416.656702816005,6.03226262810072,0.0247884156059053,210.638297183995,5.35014243114472,0.0290288963995433,127.6921,4.8496218973817,0.0836773026877555,8.336,2.12058348501101,0.0810528946440163,6.0759,1.80433012640191,0.0599942555198485,0.728874760076775,-0.316253358609104,-0.0210586391241677,93.0715487511996,4.5333685387726,0.0626186635635886,3.7326738,2.63146580822522,0.173708043529849,6.5816437,1.8842845165734,0.0292344138708156,10.5861937,2.35955067102014,0.0164456131121908,9.9363621,2.2962009677638,0.0298838690910244,75.8829,4.32919136257584,0.0021899773791878,75.9007,4.32942590702045,0.0649349948373761,0.658253516052035,-0.418165139105308,-0.00259208332905347,4.33239010692673,1.4661193774681,0.0266423305417622,53.9707914,3.9884430002251,0.0247287400061471,0.0134382559788339,0.0127888007586247,0.239794746379387
0.653820951,-0.424921740237576,-0.0157674439353089,0.346179049,-1.06079915511343,0.0304753381448388,667.613,6.50370866433625,0.0532808971302234,13922306484851.5,30.2645134528596,0.0605458520835533,6.471,661.142,6.49396864280106,0.052551718398071,367.962,5.9079796719676,0.0300814383979686,432.268491186042,6.06904690256349,0.0367842744627627,228.873508813958,5.43316948768763,0.0830270565429103,141.6982,4.95369944372252,0.104077546340811,9.548,2.25633170847658,0.135748223465572,7.0481,1.95275807695547,0.148427950553564,0.738175534143276,-0.303573631521113,0.0126797270879914,104.598144472141,4.6501258122014,0.116757273428802,3.2576697,2.59668033206136,-0.0347854761638593,6.8590612,1.92557058106085,0.0412860644874409,11.783722,2.4667190875718,0.107168416551657,10.7716843,2.37692086705609,0.0807198992922862,85.0006,4.44265831528893,0.113466952713092,81.4089,4.39948460364102,0.0700586966205679,0.647483633760939,-0.43466176177277,-0.016496622667462,4.44112986996467,1.49090881928808,0.0247894418199788,56.3639449,4.03182967925804,0.0433866790329449,-0.0264485172593708,-0.0658823520642158,0.249260424826958
0.648930826,-0.432429153474866,-0.00750741323728998,0.351069174,-1.0467719980103,0.0140271571031307,680.559,6.52291451928839,0.0192058549521352,14732116503381.3,30.3210510226651,0.0565375698054673,7.611,672.948,6.5116680606863,0.0176994178852432,370.84,5.91577070273878,0.00779103077118659,436.696701495048,6.07923890721144,0.0101920046479531,236.251298504952,5.464896062676,0.0317265749883742,140.4452,4.94481737710295,-0.00888206661956747,10.176,2.32003200659777,0.0637002981211827,7.585,2.0261726128005,0.0734145358450244,0.745381289308176,-0.293859393797271,0.00971423772384172,104.685224253145,4.65095798330568,0.000832171104273804,2.2765495,2.52075604540558,-0.0759242866557854,7.3139856,1.98978835089834,0.0642177698374988,12.1341876,2.49602689008956,0.0293078025177653,11.0511488,2.40253438636081,0.02561351930472,93.013,4.53273926833049,0.0900809530415545,83.8952,4.42956840087112,0.0300837972300956,0.641673538216448,-0.443675612076951,-0.00901385030418106,4.69319101841615,1.54611273882139,0.0552039195333176,56.7109522,4.03796735257445,0.00613767331640513,-0.00369428321304559,0.0349099673197331,0.259945427214981
